Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,1,3,9500,1,1,134,1,1,37,8,7,120.5,1,0,0,1,1,1,18,0,0,7,12,7,11.71666667,0,0,8,13,4,10.868,0,15.5,2.8,-4.06,Graduate
1,1,2,9500,1,1,140,1,38,38,9,7,138.8,1,0,0,1,0,0,19,0,0,7,7,6,12.76666667,0,0,7,7,6,12.76666667,0,7.6,2.6,0.32,Graduate
1,7,1,9500,1,3,140,1,1,1,9,5,140,0,0,0,1,0,0,33,0,2,7,8,6,14.35,0,3,8,10,6,14.58333333,0,16.2,0.3,-0.92,Dropout
1,1,2,9500,1,1,137,1,19,19,7,7,120.8,1,0,0,1,0,1,18,0,0,8,8,7,14.65428571,0,0,8,8,7,14.65428571,0,10.8,1.4,1.74,Graduate
1,17,4,9254,1,1,124,1,1,1,4,4,122.3,1,0,0,1,0,0,19,0,0,6,7,6,11.66666667,0,0,6,6,6,12.33333333,0,13.9,-0.3,0.79,Dropout
5,1,3,9085,1,1,133,1,19,19,4,7,119.7,1,0,0,1,0,0,21,0,0,5,13,5,12.2,2,0,5,10,3,11.33333333,1,9.4,-0.8,-3.12,Enrolled
1,1,1,9500,1,1,139,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Enrolled
1,1,1,171,1,1,156,1,3,3,2,2,147.7,1,0,0,1,0,0,21,0,6,12,12,12,15.33333333,0,4,11,15,11,15,0,8.9,1.4,3.51,Graduate
1,17,1,9147,1,1,115,1,19,19,7,7,115,1,0,0,1,0,0,23,0,0,5,7,2,10,1,0,5,9,1,12,0,9.4,-0.8,-3.12,Enrolled
1,1,2,9670,1,1,120,1,3,19,4,5,115.5,1,0,0,1,0,0,18,0,0,6,8,5,13,0,0,6,8,5,14,0,13.9,-0.3,0.79,Graduate
1,1,1,9238,1,1,145,1,19,37,4,7,148.9,1,0,0,1,0,1,18,0,0,6,6,6,13.66666667,0,0,6,6,6,13,0,10.8,1.4,1.74,Graduate
1,39,1,9238,1,19,133.1,1,37,37,9,9,139,0,0,1,0,1,0,33,0,0,6,8,0,0,0,0,5,6,0,0,0,16.2,0.3,-0.92,Dropout
1,39,1,9085,1,19,133.1,1,37,37,9,9,100,1,0,1,0,0,1,26,0,0,6,7,0,0,0,0,6,6,0,0,0,13.9,-0.3,0.79,Dropout
1,1,1,9238,1,1,136,1,19,38,9,9,121.7,0,1,0,1,0,1,20,0,0,6,9,6,11.875,0,0,6,7,6,14.42857143,0,16.2,0.3,-0.92,Graduate
1,17,1,9003,1,1,133,1,38,37,9,9,125.3,1,0,0,1,0,0,21,0,12,18,22,18,11.88888889,1,11,13,13,13,11.46153846,0,15.5,2.8,-4.06,Graduate
1,1,1,9670,1,1,122,1,12,12,5,7,126.6,1,0,0,1,0,0,18,0,0,6,8,6,14.625,0,0,6,9,6,14.14285714,0,11.1,0.6,2.02,Enrolled
6,17,3,8014,0,1,115,1,19,1,5,90,115,0,0,0,0,0,0,24,0,0,5,5,0,0,0,0,5,10,0,0,0,10.8,1.4,1.74,Dropout
1,43,1,8014,0,1,148,1,37,37,9,9,134.7,0,0,0,1,0,0,23,0,9,13,15,9,11,0,4,11,12,7,11.57142857,0,15.5,2.8,-4.06,Enrolled
1,1,1,9147,1,1,129,1,37,38,4,9,121,1,0,0,1,0,0,18,0,0,5,8,2,10.5,0,0,5,7,3,12.33333333,0,7.6,2.6,0.32,Enrolled
1,17,2,9773,1,1,120,1,1,1,2,5,127,1,0,0,0,1,0,18,0,0,6,6,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,Dropout
1,44,1,9085,1,39,140,1,3,38,2,9,140,1,0,0,1,0,0,21,0,7,12,18,8,12.25,0,4,12,27,8,12.2,0,12.4,0.5,1.79,Enrolled
1,1,3,9773,1,1,142,1,34,1,5,10,136.1,1,0,0,0,1,0,19,0,0,4,8,0,0,1,0,6,0,0,0,0,9.4,-0.8,-3.12,Dropout
2,51,1,9500,1,1,130,1,37,37,5,5,120,0,0,0,1,1,0,44,0,0,7,11,5,12.1,0,0,7,10,5,12.6,0,11.1,0.6,2.02,Dropout
1,1,3,9773,1,1,149,1,1,3,0,0,148.7,0,0,0,0,1,0,20,0,0,4,4,0,0,0,0,4,8,0,0,0,10.8,1.4,1.74,Dropout
1,7,1,8014,0,3,140,1,1,1,4,4,140,0,0,0,1,0,0,30,0,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
1,1,1,9670,1,1,131,1,37,37,9,9,123,1,0,0,1,0,1,18,0,0,5,6,3,11.66666667,0,0,5,6,4,13.5,0,7.6,2.6,0.32,Enrolled
1,1,1,9238,1,1,151,1,37,1,9,9,138.4,1,0,0,1,0,1,20,0,0,6,8,6,14.25,0,0,6,8,6,11,0,12.7,3.7,-1.7,Graduate
1,1,1,9147,1,1,127,1,1,4,9,10,121.8,0,0,0,1,1,0,19,0,0,5,8,5,11.6,0,0,5,10,4,13.5,3,16.2,0.3,-0.92,Graduate
1,1,1,9670,1,1,141,1,1,19,4,4,132.6,0,0,0,1,0,1,18,0,0,6,8,6,14,0,0,6,7,6,13.14285714,0,11.1,0.6,2.02,Graduate
1,44,3,9085,1,39,150,1,1,19,4,1,150,1,0,0,1,0,0,19,0,0,5,10,1,13,1,0,5,8,3,15.33333333,0,12.7,3.7,-1.7,Enrolled
1,1,1,9085,1,1,123,1,3,1,2,5,112.9,0,0,0,1,1,0,18,0,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout
1,17,1,9147,1,1,120,1,38,38,9,8,118.3,0,0,0,1,1,0,18,0,0,5,13,1,10,0,0,5,5,1,10,0,12.7,3.7,-1.7,Dropout
1,16,1,9085,1,1,140,1,1,1,9,9,127.1,1,0,0,1,0,0,18,0,0,5,8,4,13.25,1,0,5,10,4,10.5,0,12.7,3.7,-1.7,Graduate
1,17,4,9085,1,1,126,1,1,3,5,5,123.9,1,0,0,1,1,0,21,0,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
1,1,5,9500,1,1,144,1,37,37,7,9,126.8,1,0,1,0,0,0,18,0,0,7,0,0,0,0,0,8,0,0,0,0,9.4,-0.8,-3.12,Dropout
1,1,6,9119,1,1,126,1,19,19,7,3,116.6,1,0,0,1,1,1,20,0,0,5,6,5,14,0,0,5,7,5,13.8,0,8.9,1.4,3.51,Graduate
1,1,1,9238,1,1,168,1,37,37,9,9,149.5,0,0,0,1,0,0,18,0,0,6,10,6,17,0,0,6,11,6,16,0,12.4,0.5,1.79,Graduate
1,1,1,171,1,1,133.1,1,3,1,2,4,128.2,1,0,0,1,0,0,20,0,5,12,13,12,11.23076923,0,3,11,18,9,12.77777778,0,11.1,0.6,2.02,Graduate
1,17,2,9500,1,1,130,1,38,38,7,7,122.5,1,0,0,1,0,0,19,0,0,8,8,7,13.93714286,0,0,8,8,7,13.93714286,0,10.8,1.4,1.74,Graduate
1,1,4,9500,1,1,144,1,3,39,2,3,129,1,0,0,1,0,0,18,0,0,7,8,7,12.65,0,0,8,9,8,13.41111111,0,16.2,0.3,-0.92,Dropout
1,1,1,9119,1,1,121,1,3,1,2,3,114,0,0,0,1,1,0,20,0,0,5,9,4,11.6,0,0,5,7,4,12.25,2,7.6,2.6,0.32,Enrolled
1,17,2,9773,1,1,126,1,19,38,9,8,118.7,1,0,0,1,0,1,18,0,0,6,6,6,14.16666667,0,0,6,6,6,13.66666667,0,12.4,0.5,1.79,Graduate
1,1,3,9500,1,1,136,1,1,1,4,4,127,1,0,0,1,0,0,19,0,0,8,10,1,13.67,7,0,8,10,1,13.67,7,9.4,-0.8,-3.12,Enrolled
1,17,2,9556,1,1,133.1,1,37,38,9,8,106,1,0,0,1,0,0,19,0,0,7,16,2,12.75,0,0,7,12,2,11,0,8.9,1.4,3.51,Dropout
1,17,4,9119,1,1,122,62,1,1,191,171,121,1,0,0,1,1,0,20,1,0,5,10,4,14.25,0,0,5,14,1,10,0,8.9,1.4,3.51,Enrolled
2,39,2,8014,0,1,100,1,34,34,0,0,100,1,0,0,1,0,0,41,0,0,6,9,5,11.8,0,1,6,10,3,10.66666667,1,7.6,2.6,0.32,Graduate
1,17,1,9670,1,1,149,1,19,37,7,4,134.3,0,1,0,1,0,0,20,0,0,6,7,6,12.66666667,0,0,6,9,6,13.77777778,0,10.8,1.4,1.74,Graduate
1,1,3,9085,1,1,142,1,11,11,90,90,155.3,0,0,0,1,0,0,19,0,0,5,5,5,15.2,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduate
1,1,1,9500,1,1,147,1,38,19,5,8,147.3,0,0,0,1,0,0,18,0,0,7,7,6,13.96666667,0,0,7,7,6,13.96666667,0,7.6,2.6,0.32,Graduate
1,1,1,9773,1,1,133.1,1,1,3,9,9,116,0,0,0,1,1,0,20,0,0,6,8,6,11.5,0,0,6,8,6,11,0,16.2,0.3,-0.92,Graduate
1,1,6,171,1,1,134,1,19,37,5,5,126,1,0,0,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,Graduate
1,7,1,9773,1,43,140,1,19,1,4,8,140,0,0,0,1,1,0,25,0,0,6,6,6,14.66666667,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate
1,1,2,9556,1,1,136,1,19,19,9,9,129.5,1,0,0,1,0,0,18,0,0,7,9,7,15.15555556,0,0,8,8,8,16.8,0,12.7,3.7,-1.7,Graduate
1,1,2,9500,1,1,124,1,34,34,0,0,123.3,1,0,0,1,0,1,20,0,0,8,8,7,14.90142857,1,0,8,8,7,14.90142857,1,9.4,-0.8,-3.12,Dropout
1,1,1,9254,1,1,132,1,19,38,9,7,120.1,0,0,0,1,0,1,20,0,0,6,6,6,12.33333333,0,0,6,7,6,11.83333333,0,13.9,-0.3,0.79,Graduate
1,17,2,9556,1,1,136,1,1,1,9,9,128.3,0,0,0,1,0,1,18,0,0,7,7,7,13.42857143,0,0,8,8,8,14.75,0,15.5,2.8,-4.06,Graduate
1,1,1,9773,1,1,122,1,38,19,9,9,126.6,1,0,0,1,0,0,18,0,0,6,6,6,12.83333333,0,0,6,6,6,13.83333333,0,8.9,1.4,3.51,Graduate
1,1,1,9147,1,1,128,1,38,37,5,6,122.1,0,0,0,1,0,1,18,0,0,5,11,4,11.57142857,0,0,5,9,5,12,0,13.9,-0.3,0.79,Enrolled
1,1,5,9147,1,1,133,1,19,3,9,9,123.2,1,0,0,1,1,0,18,0,0,5,14,4,11,0,0,5,9,5,10.5,0,13.9,-0.3,0.79,Dropout
4,39,1,9500,1,1,133.1,1,37,37,9,9,130,0,0,1,1,0,0,38,0,0,7,13,3,11.83333333,0,0,7,14,2,10,0,16.2,0.3,-0.92,Dropout
1,1,1,9238,1,1,125,1,1,1,3,3,125.7,1,0,0,1,0,0,18,0,0,6,10,6,11.57142857,0,0,6,8,6,12.33333333,0,12.4,0.5,1.79,Graduate
1,17,1,9085,1,1,128,1,2,19,2,4,123.3,1,0,0,1,0,1,20,0,0,6,6,6,14.83333333,0,0,6,8,6,12.14285714,0,8.9,1.4,3.51,Graduate
1,17,2,9773,1,1,123,1,1,1,3,3,120.9,1,0,0,1,0,0,18,0,0,6,0,0,0,0,0,6,0,0,0,0,13.9,-0.3,0.79,Dropout
1,44,1,9003,1,1,140,1,1,1,4,5,140,0,0,0,1,1,0,20,0,0,6,11,6,11.28571429,0,0,6,12,5,11.77777778,0,16.2,0.3,-0.92,Enrolled
1,44,1,9003,1,39,140,1,19,38,3,9,140,1,0,0,1,1,0,21,0,0,6,7,6,12.85714286,0,0,6,6,6,13.16666667,0,12.4,0.5,1.79,Graduate
1,1,1,171,1,1,163,1,19,1,9,7,143.1,0,0,0,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,Graduate
1,1,4,9500,1,1,135,1,38,37,9,8,126.3,1,0,0,1,0,1,19,0,0,7,7,6,15.43333333,0,0,7,7,6,15.43333333,0,7.6,2.6,0.32,Graduate
1,43,2,9147,1,1,130,1,34,37,9,9,118.5,1,0,0,1,1,0,23,0,5,10,19,8,11.625,1,4,10,16,10,11.18181818,3,7.6,2.6,0.32,Graduate
1,43,1,9500,1,1,121,1,38,19,5,5,115.4,1,0,0,1,0,1,24,0,0,8,8,7,11.97142857,0,0,8,8,7,11.97142857,0,12.7,3.7,-1.7,Enrolled
1,17,2,9500,1,1,135,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
1,17,1,9773,1,1,128,1,19,38,5,7,125.6,1,0,0,1,1,0,19,0,0,6,6,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,Dropout
1,7,1,9070,1,3,133.1,1,3,5,2,2,120,1,0,0,1,0,0,32,0,0,3,3,2,16,0,0,3,3,1,16,0,7.6,2.6,0.32,Dropout
1,43,2,9500,1,6,119.1,1,1,19,4,10,119.1,0,0,0,1,1,0,22,0,0,7,7,6,12.73333333,0,0,7,7,6,12.73333333,0,7.6,2.6,0.32,Graduate
1,1,3,9500,1,1,139,1,18,18,1,1,130.8,1,0,0,0,0,0,18,0,0,8,9,6,12.75833333,1,0,8,9,6,12.75833333,1,9.4,-0.8,-3.12,Dropout
1,17,2,8014,0,1,122,1,37,19,9,9,123.8,0,0,0,1,0,0,20,0,0,6,8,5,12,0,0,6,8,6,11,0,10.8,1.4,1.74,Graduate
1,39,1,9991,0,1,120,1,38,38,3,3,140,0,0,0,1,0,0,25,0,0,5,11,3,10.66666667,0,0,5,11,3,11.33333333,0,15.5,2.8,-4.06,Enrolled
1,17,1,9238,1,1,128,1,19,1,0,5,122.1,1,0,0,1,0,0,18,0,0,6,9,5,11.83333333,0,0,6,7,5,13.8,0,13.9,-0.3,0.79,Graduate
1,1,6,9147,1,1,112,1,38,38,9,9,117.3,1,0,0,1,0,0,20,0,0,5,8,4,12,0,0,5,8,5,11.2,0,11.1,0.6,2.02,Graduate
1,1,1,9085,1,1,129,1,1,38,4,7,123.4,0,0,0,1,0,0,19,0,0,5,6,5,12.4,0,0,5,6,5,13.4,0,7.6,2.6,0.32,Graduate
1,1,1,9147,1,1,158,1,1,38,3,6,155.2,0,0,0,1,1,1,18,0,0,5,5,5,11.8,0,0,5,8,3,11,0,9.4,-0.8,-3.12,Graduate
1,39,1,9991,0,1,110,1,37,37,9,9,139,0,0,0,1,1,0,40,0,0,5,0,0,0,0,0,5,0,0,0,0,12.7,3.7,-1.7,Dropout
1,17,3,9853,1,1,138,1,37,37,5,9,125.1,1,1,0,1,0,1,19,0,0,6,6,6,13.5,0,0,6,8,5,12.8,0,12.7,3.7,-1.7,Dropout
1,1,3,9500,1,1,154,1,1,37,4,9,134.8,1,0,0,1,0,0,19,0,0,7,7,6,13.53333333,0,0,7,7,6,13.53333333,0,7.6,2.6,0.32,Graduate
2,43,1,8014,0,1,130,1,34,34,0,0,130,0,0,0,1,0,0,45,0,10,12,12,9,12.44444444,3,4,7,8,6,12,0,9.4,-0.8,-3.12,Dropout
1,17,1,9853,1,1,120,1,37,37,9,10,122.6,0,0,0,1,0,0,20,0,0,6,8,3,12.33333333,0,0,6,11,2,10.5,0,12.7,3.7,-1.7,Dropout
1,17,1,9254,1,1,128,1,19,1,5,7,120.7,1,0,1,1,0,0,18,0,0,6,8,6,11.66666667,0,0,6,10,4,11.5,0,13.9,-0.3,0.79,Graduate
2,39,1,9500,1,1,100,1,37,38,4,4,130,0,0,0,1,1,1,33,0,0,8,16,1,10,1,0,8,16,1,10,1,12.7,3.7,-1.7,Enrolled
1,43,1,9853,1,1,140,1,37,19,9,8,122.3,0,0,0,1,0,0,22,0,0,6,9,5,13.6,0,0,6,8,5,12,0,12.7,3.7,-1.7,Dropout
2,7,1,9130,1,2,110,1,19,19,4,8,110,1,0,0,1,1,0,37,0,0,6,9,0,0,0,0,6,6,0,0,0,16.2,0.3,-0.92,Dropout
1,7,1,9254,1,3,110,1,19,19,3,3,110,0,0,0,1,1,0,35,0,0,6,7,0,0,0,0,6,6,0,0,0,16.2,0.3,-0.92,Dropout
